Date,Position,Seniority,Location,Studio,Client Tag,Project Tag,Team Name,Month,Day,EmployeeID,Engagement_D
02Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,2,66,Alto
03Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,3,66,Medio
04Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,4,66,Medio
05Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,5,66,Medio
06Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,6,66,Alto
09Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,9,66,Alto
10Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,10,66,Alto
11Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,11,66,Medio
12Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,12,66,Alto
13Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,13,66,Alto
16Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,16,66,Alto
17Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,17,66,Alto
18Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,18,66,Medio
19Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,19,66,Alto
20Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,20,66,Alto
23Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,23,66,Medio
24Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,24,66,Alto
25Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,25,66,Alto
26Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,26,66,Medio
27Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,27,66,Medio
30Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,30,66,Alto
31Jan23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,1,31,66,Alto
01Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,1,66,Alto
02Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,2,66,Medio
03Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,3,66,Medio
07Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,7,66,Medio
08Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,8,66,Medio
09Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,9,66,Medio
10Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,10,66,Alto
13Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,13,66,Alto
14Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,14,66,Medio
15Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,15,66,Medio
16Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,16,66,Alto
17Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,17,66,Medio
20Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,20,66,Alto
21Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,21,66,Alto
22Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,22,66,Alto
23Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,23,66,Alto
24Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,24,66,Medio
27Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,27,66,Medio
28Feb23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,2,28,66,Medio
01Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,1,66,Medio
02Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,2,66,Medio
03Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,3,66,Alto
06Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,6,66,Medio
07Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,7,66,Muy Bajo
08Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,8,66,Muy Bajo
09Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,9,66,Muy Bajo
10Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,10,66,Muy Bajo
13Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,13,66,Alto
14Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,14,66,Medio
15Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,15,66,Alto
16Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,16,66,Alto
17Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,17,66,Alto
21Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,21,66,Medio
22Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,22,66,Alto
23Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,23,66,Alto
24Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,24,66,Medio
27Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,27,66,Medio
28Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,28,66,Alto
29Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,29,66,Alto
30Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,30,66,Alto
31Mar23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,3,31,66,Medio
03Apr23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,4,3,66,Alto
04Apr23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,4,4,66,Alto
05Apr23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,4,5,66,Alto
06Apr23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,4,6,66,Medio
10Apr23,Software Developer,0,CO/ANT/MED,Engineering,GWI001,ATLINT,Breaking Badger,4,10,66,Medio
