iter	RMSE
0	9.806057409
1	9.653913544
2	9.501926983
3	9.369909193
4	9.25146439
5	9.141050554
6	9.043278332
7	8.943811551
8	8.855499922
9	8.774168113
10	8.702037971
11	8.639627336
12	8.578281165
13	8.523349988
14	8.4764146
15	8.434988693
16	8.392146166
17	8.35586614
18	8.322045451
19	8.288041786
20	8.261113657
21	8.237567613
22	8.212407117
23	8.190508678
24	8.16938959
25	8.14824808
26	8.123838674
27	8.108706851
28	8.088017106
29	8.071656296
30	8.055160494
31	8.040803483
32	8.028088902
33	8.014158341
34	8.003457405
35	7.992231947
36	7.978950948
37	7.9645927
38	7.956517649
39	7.946460836
40	7.935454727
41	7.928228718
42	7.91980222
43	7.911442857
44	7.902354087
45	7.896719023
46	7.890909613
47	7.886517099
48	7.880748372
49	7.878970199
50	7.872320073
51	7.866892268
52	7.861975486
53	7.857656163
54	7.852704815
55	7.849021627
56	7.845637664
57	7.83986549
58	7.83524618
59	7.828976631
60	7.824927401
61	7.821444453
62	7.818895985
63	7.810117675
64	7.808092814
65	7.802109318
66	7.798512856
67	7.793945685
68	7.793716693
69	7.793716668
70	7.791669225
71	7.787522758
72	7.784942334
73	7.782139606
74	7.776744779
75	7.774878143
76	7.772373259
77	7.77054325
78	7.768311811
79	7.763948592
80	7.76055792
81	7.7586408
82	7.758640792
83	7.755882034
84	7.753414883
85	7.749253072
86	7.745825587
87	7.745315482
88	7.743377985
89	7.73717635
90	7.732933715
91	7.730739067
92	7.729981974
93	7.727470576
94	7.72590369
95	7.725903685
96	7.724763155
97	7.724334881
98	7.722163875
99	7.720842081
100	7.71953473
101	7.717872983
102	7.716786232
103	7.712302565
104	7.710312749
105	7.708182622
106	7.704958507
107	7.701629964
108	7.699634039
109	7.696517864
110	7.695777344
111	7.693949062
112	7.693079789
113	7.691763754
114	7.690197145
115	7.687279069
116	7.685885618
117	7.683304385
118	7.682093971
119	7.680104749
120	7.677797465
121	7.676014842
122	7.674820911
123	7.673901625
124	7.673901625
125	7.673053147
126	7.672677973
127	7.671446315
128	7.668972417
129	7.665088227
130	7.66374922
131	7.661901722
132	7.660399998
133	7.659071641
134	7.657573588
135	7.656371262
136	7.654461381
137	7.653268899
138	7.652819652
139	7.650271736
140	7.648472515
141	7.64790559
142	7.647677657
143	7.645408642
144	7.644768222
145	7.643097905
146	7.641663561
147	7.641627562
148	7.64044533
149	7.637857742
150	7.637857742
151	7.634522668
152	7.631735236
153	7.630668098
154	7.628899642
155	7.628534877
156	7.626377586
157	7.624733919
158	7.624546254
159	7.623624294
160	7.621946754
161	7.620010125
162	7.619429112
163	7.619003416
164	7.619003415
165	7.618689727
166	7.615591824
167	7.614515874
168	7.613614209
169	7.613356276
170	7.612057084
171	7.611630469
172	7.611518413
173	7.610324759
174	7.609617893
175	7.609140775
176	7.60791584
177	7.605151282
178	7.604998088
179	7.602077239
180	7.60098818
181	7.598131763
182	7.597306372
183	7.596633243
184	7.595197323
185	7.593787684
186	7.592876931
187	7.592105167
188	7.591635377
189	7.591556349
190	7.589516344
191	7.58890505
192	7.588816665
193	7.587878604
