iter	Passed	Remaining
0	48	48302
1	105	52882
2	159	52972
3	216	54005
4	272	54212
5	321	53314
6	384	54492
7	443	55016
8	506	55823
9	558	55338
10	606	54525
11	664	54718
12	722	54886
13	803	56561
14	859	56433
15	923	56814
16	986	57026
17	1045	57022
18	1105	57064
19	1159	56826
20	1211	56457
21	1265	56266
22	1322	56173
23	1382	56203
24	1447	56459
25	1504	56359
26	1563	56337
27	1625	56419
28	1690	56612
29	1755	56766
30	1818	56827
31	1882	56954
32	1953	57230
33	2016	57296
34	2083	57435
35	2146	57467
36	2237	58236
37	2335	59119
38	2397	59085
39	2450	58813
40	2502	58540
41	2554	58276
42	2617	58246
43	2668	57983
44	2718	57682
45	2780	57658
46	2842	57642
47	2908	57687
48	2972	57689
49	3025	57489
50	3078	57277
51	3137	57202
52	3197	57132
53	3255	57032
54	3320	57059
55	3382	57019
56	3436	56856
57	3497	56801
58	3553	56671
59	3611	56580
60	3666	56439
61	3718	56259
62	3769	56057
63	3818	55842
64	3873	55720
65	3935	55694
66	4008	55814
67	4070	55790
68	4094	55247
69	4115	54675
70	4169	54561
71	4222	54425
72	4275	54296
73	4331	54198
74	4393	54189
75	4486	54552
76	4539	54420
77	4599	54363
78	4660	54331
79	4729	54385
80	4786	54311
81	4841	54204
82	4862	53725
83	4928	53741
84	4991	53730
85	5046	53635
86	5100	53529
87	5167	53554
88	5230	53543
89	5307	53662
90	5373	53673
91	5439	53688
92	5501	53652
93	5566	53652
94	5632	53655
95	5653	53240
96	5711	53172
97	5771	53124
98	5829	53053
99	5888	52998
100	5949	52960
101	6014	52953
102	6071	52877
103	6136	52866
104	6201	52863
105	6263	52828
106	6325	52790
107	6381	52707
108	6439	52635
109	6508	52658
110	6571	52628
111	6642	52665
112	6748	52974
113	6807	52905
114	6869	52862
115	6936	52861
116	6998	52816
117	7061	52778
118	7135	52825
119	7203	52829
120	7268	52802
121	7332	52766
122	7401	52774
123	7475	52812
124	7497	52483
125	7552	52385
126	7616	52358
127	7679	52314
128	7736	52239
129	7819	52327
130	7890	52340
131	7948	52268
132	8021	52291
133	8084	52244
134	8145	52190
135	8206	52133
136	8269	52091
137	8334	52063
138	8399	52028
